leg,joint,cmd_delta_rad,act_delta_rad
hover,1,-0.000053402,-0.000037165
hover,1,0.000035187,0.000032853
hover,1,0.000013519,0.000016186
hover,1,0.000037522,0.000035379
hover,1,-0.000013263,-0.000005104
hover,1,0.000039805,0.000036014
hover,1,-0.000016030,-0.000007277
hover,1,0.000037138,0.000033254
hover,1,-0.000011835,-0.000004167
hover,1,0.000036144,0.000032030
hover,1,-0.000013620,-0.000004448
hover,1,0.000036372,0.000030328
hover,1,-0.000016179,-0.000006510
hover,1,0.000035705,0.000029318
hover,1,-0.000018457,-0.000008527
hover,1,0.000035925,0.000029096
hover,1,-0.000020571,-0.000011571
hover,1,0.000024198,0.000020523
hover,1,-0.000003831,0.000001973
hover,1,0.000017834,0.000017771
hover,1,0.000037203,0.000031669
hover,1,-0.000007571,-0.000000525
hover,1,0.000117160,0.000095079
hover,1,-0.000097908,-0.000075115
hover,1,0.000026882,0.000027129
hover,1,-0.000005676,-0.000004711
hover,1,0.000043220,0.000037849
hover,1,-0.000036644,-0.000027306
hover,1,0.000104372,0.000085412
hover,1,-0.000027709,-0.000014050
hover,1,-0.000001629,-0.000001106
hover,1,0.000022925,0.000022639
hover,1,0.000021149,0.000019383
hover,1,0.000002278,0.000003213
hover,1,-0.000041451,-0.000027951
hover,1,0.000142591,0.000113023
hover,1,-0.000086944,-0.000063360
hover,1,0.000129480,0.000104869
hover,1,-0.000120830,-0.000091730
hover,1,-0.000001309,0.000000266
hover,1,0.000006736,0.000007616
hover,1,0.000001554,0.000002883
hover,1,0.000023888,0.000019835
hover,1,0.000031942,0.000025699
hover,1,0.000017455,0.000015739
hover,1,-0.000034435,-0.000023780
hover,1,0.000006394,0.000007166
hover,1,0.000139488,0.000115415
hover,1,-0.000038414,-0.000028344
hover,1,-0.000007934,-0.000003736
hover,1,-0.000006780,-0.000002190
hover,1,-0.000032572,-0.000023879
hover,1,0.000151178,0.000123231
hover,1,-0.000107407,-0.000079798
hover,1,0.000133336,0.000105299
hover,1,-0.000069922,-0.000049908
hover,1,0.000093294,0.000076333
hover,1,-0.000081235,-0.000059821
hover,1,0.000058224,0.000047972
hover,1,-0.000001887,0.000000330
hover,1,0.000036034,0.000033010
hover,1,-0.000036165,-0.000026947
hover,1,0.000053903,0.000045098
hover,1,-0.000045180,-0.000032289
hover,1,0.000033965,0.000026127
hover,1,-0.000004722,-0.000000246
hover,1,0.000023351,0.000019917
hover,1,-0.000016587,-0.000010595
hover,1,0.000015960,0.000014005
hover,1,-0.000001723,0.000000445
hover,1,0.000023238,0.000019975
hover,1,-0.000039064,-0.000030071
hover,1,0.000130607,0.000108285
hover,1,-0.000075710,-0.000065470
hover,1,0.000017548,0.000035007
hover,1,0.000086993,0.000054909
hover,1,-0.000119544,-0.000076838
hover,1,0.000154970,0.000111701
hover,1,-0.000130070,-0.000102608
hover,1,0.000139834,0.000116976
hover,1,-0.000128963,-0.000106055
hover,1,0.000029115,0.000026381
hover,1,0.000026060,0.000023572
hover,1,-0.000040653,-0.000020262
hover,1,0.000068591,0.000045065
hover,1,-0.000113997,-0.000077935
hover,1,-0.000001708,-0.000004718
hover,2,0.000273769,0.000282459
hover,2,0.000266629,0.000282809
hover,2,0.000272520,0.000282064
hover,2,0.000272785,0.000281461
hover,2,0.000273328,0.000280835
hover,2,0.000273938,0.000280261
hover,2,0.000277622,0.000279680
hover,2,0.000273666,0.000279382
hover,2,0.000273325,0.000278898
hover,2,0.000272407,0.000278369
hover,2,0.000269882,0.000277810
hover,2,0.000272146,0.000277102
hover,2,0.000271108,0.000276588
hover,2,0.000270409,0.000276089
hover,2,0.000267900,0.000275522
hover,2,0.000271462,0.000274822
hover,2,0.000269166,0.000274457
hover,2,0.000268380,0.000273958
hover,2,0.000268513,0.000273392
